Date,Time,Direction,Type,Occupancy,Colour,Turn Signal
26-10-2023,10.30am,out,Bu,10%,Bl,Y
26-10-2023,10.30am,out,C,1,S,Y
26-10-2023,10.30am,out,C,2,B,Y
26-10-2023,10.30am,out,C,1,S,Y
26-10-2023,10.30am,out,C,1,N,N
26-10-2023,10.30am,out,V,2,Y,Y
26-10-2023,10.35am,out,C,4,N,Y
26-10-2023,10.35am,out,C,1,B,Y
26-10-2023,10.35am,out,C,2,Gr,Y
26-10-2023,10.35am,out,Bu,10%,Bl,Y
26-10-2023,10.35am,out,C,1,N,Y
26-10-2023,10.35am,out,C,4,B,Y
26-10-2023,10.35am,out,C,1,S,Y
26-10-2023,10.40am,out,C,3,B,Y
26-10-2023,10.40am,out,C,4,S,Y
26-10-2023,10.40am,out,C,1,B,Y
26-10-2023,10.40am,out,Bu,10%,W,Y
26-10-2023,10.40am,out,C,1,Bl,Y
26-10-2023,10.40am,out,C,1,Bl,Y
26-10-2023,10.40am,out,Bu,10%,W,Y
26-10-2023,10.40am,out,C,1,B,Y
26-10-2023,10.45am,out,C,2,B,Y
26-10-2023,10.45am,out,Bu,10%,G,Y
26-10-2023,10.45am,out,L,1,W,Y
26-10-2023,10.45am,out,Bu,0%,Bl,Y
26-10-2023,10.45am,out,C,1,Sl,Y
26-10-2023,10.45am,out,V,1,W,Y
26-10-2023,10.45am,out,C,1,B,Y
26-10-2023,10.45am,out,C,1,B,Y
26-10-2023,10.45am,out,C,1,B,Y
26-10-2023,10.45am,out,C,1,Gr,Y
26-10-2023,10.50am,out,Bu,10%,Bl,Y
26-10-2023,10.50am,out,C,1,W,Y
26-10-2023,10.50am,out,S,1,P,Y
26-10-2023,10.50am,out,C,3,Gr,Y
26-10-2023,10.50am,out,C,1,W,Y
26-10-2023,10.50am,out,Bu,10%,Bl,Y
26-10-2023,10.50am,out,C,1,W,Y
26-10-2023,10.50am,out,V,1,Gr,N
26-10-2023,10.50am,out,V,2,Gr,Y
26-10-2023,10.50am,out,C,2,N,Y
26-10-2023,10.55am,out,C,1,S,Y
26-10-2023,10.55am,out,T,1,W,Y
26-10-2023,10.55am,out,C,1,Gr,Y
26-10-2023,10.55am,out,V,1,W,Y
26-10-2023,10.55am,out,C,2,R,Y
26-10-2023,10.55am,out,V,1,R,Y
26-10-2023,10.55am,out,C,2,B,Y
26-10-2023,10.55am,out,C,1,B,Y
26-10-2023,10.55am,out,C,1,G,Y
26-10-2023,10.55am,out,C,1,Bl,Y
26-10-2023,10.55am,out,C,2,W,Y
26-10-2023,10.55am,out,Bu,75%,B,Y
26-10-2023,10.55am,out,C,1,Gr,Y
26-10-2023,10.55am,out,C,1,B,Y
26-10-2023,10.55am,out,Bu,10%,Br,Y
