Date,Time,Direction,Type,Occupancy,Origin,AdditionalData2
26-10-2023,10.10am,out,car,1,right,null
26-10-2023,10.10am,out,car,1,right,null
26-10-2023,10.10am,out,car,1,right,null
26-10-2023,10.10am,out,car,1,right,null
26-10-2023,10.10am,out,car,1,right,null
26-10-2023,10.10am,out,car,1,right,null
26-10-2023,10.10am,out,van,1,left,null
26-10-2023,10.15am,out,car,1,right,null
26-10-2023,10.15am,out,car,1,right,null
26-10-2023,10.15am,out,car,1,right,null
26-10-2023,10.15am,out,car,1,right,null
26-10-2023,10.15am,out,car,2,right,null
26-10-2023,10.15am,out,car,1,right,null
26-10-2023,10.15am,out,car,2,left,null
26-10-2023,10.15am,out,car,2,left,null
26-10-2023,10.15am,out,car,1,left,null
26-10-2023,10.15am,out,car,1,left,null
26-10-2023,10.15am,out,car,1,left,null
26-10-2023,10.15am,out,car,4,left,null
26-10-2023,10.15am,out,car,1,left,null
26-10-2023,10.15am,out,bus,25%,right,null
26-10-2023,10.15am,out,bus,25%,right,null
26-10-2023,10.15am,out,van,1,right,null
26-10-2023,10.15am,out,van,1,right,null
26-10-2023,10.15am,out,van,2,right,null
26-10-2023,10.15am,out,lorry,1,left,null
26-10-2023,10.15am,out,lorry,1,left,null
26-10-2023,10.15am,out,taxi,1,right,null
26-10-2023,10.15am,out,taxi,2,right,null
26-10-2023,10.20am,out,car,1,right,null
26-10-2023,10.20am,out,car,1,right,null
26-10-2023,10.20am,out,car,1,right,null
26-10-2023,10.20am,out,car,1,right,null
26-10-2023,10.20am,out,car,1,right,null
26-10-2023,10.20am,out,car,1,right,null
26-10-2023,10.20am,out,car,1,right,null
26-10-2023,10.20am,out,car,1,right,null
26-10-2023,10.20am,out,car,1,right,null
26-10-2023,10.20am,out,car,1,right,null
26-10-2023,10.20am,out,car,1,left,null
26-10-2023,10.20am,out,car,1,left,null
26-10-2023,10.20am,out,bus,25%,right,null
26-10-2023,10.20am,out,bus,0%,right,null
26-10-2023,10.20am,out,van,1,left,null
26-10-2023,10.20am,out,taxi,1,right,null
26-10-2023,10.25am,out,car,1,right,null
26-10-2023,10.25am,out,car,1,right,null
26-10-2023,10.25am,out,car,1,right,null
26-10-2023,10.25am,out,car,1,right,null
26-10-2023,10.25am,out,car,1,right,null
26-10-2023,10.25am,out,car,1,right,null
26-10-2023,10.25am,out,bus,0%,right,null
26-10-2023,10.25am,out,bus,25%,right,null
26-10-2023,10.25am,out,taxi,2,right,null
26-10-2023,10.25am,out,lorry,1,left,null
26-10-2023,10.30am,out,car,1,right,null
26-10-2023,10.30am,out,car,2,right,null
26-10-2023,10.30am,out,car,1,right,null
26-10-2023,10.30am,out,car,1,right,null
26-10-2023,10.30am,out,car,1,right,null
26-10-2023,10.30am,out,car,1,right,null
26-10-2023,10.30am,out,car,1,right,null
26-10-2023,10.30am,out,car,3,left,null
26-10-2023,10.30am,out,car,1,left,null
26-10-2023,10.30am,out,car,1,left,null
26-10-2023,10.30am,out,van,1,right,null
26-10-2023,10.35am,out,car,2,right,null
26-10-2023,10.35am,out,car,1,right,null
26-10-2023,10.35am,out,car,2,right,null
26-10-2023,10.35am,out,car,2,left,null
26-10-2023,10.35am,out,bus,0%,right,null
26-10-2023,10.35am,out,bus,0%,right,null
26-10-2023,10.35am,out,bus,0%,right,null
26-10-2023,10.35am,out,van,1,right,null
26-10-2023,10.35am,out,van,1,left,null
26-10-2023,10.35am,out,van,1,left,null
26-10-2023,10.35am,out,taxi,1,right,null
26-10-2023,10.40am,out,car,1,right,null
26-10-2023,10.40am,out,car,1,right,null
26-10-2023,10.40am,out,car,1,right,null
26-10-2023,10.40am,out,car,1,right,null
26-10-2023,10.40am,out,car,1,left,null
26-10-2023,10.40am,out,van,1,right,null
