Date,Time,Direction,Type,Occupancy,Colour,Brand
25/10/2023,08.20am,Out,Car,1,Grey,Ford
25/10/2023,08.20am,Out,Bus,1%,Green,
25/10/2023,08.20am,Out,Van,1,White,Mercedes-Benz
25/10/2023,08.20am,Out,Van,2,White,Ford
25/10/2023,08.25am,Out,Van,1,Black,Mercedes-Benz
25/10/2023,08.25am,Out,Car,1,White,Mercedes-Benz
25/10/2023,08.25am,Out,Van,8,Grey,Volkswagen
25/10/2023,08.25am,Out,Car,1,Grey,Campagna
25/10/2023,08.25am,Out,Car,2,Red,Honda
25/10/2023,08.25am,Out,Bus,1%,Blue,
25/10/2023,08.30am,Out,Car,1,Black,Fiat
25/10/2023,08.30am,Out,Bus,3%,Purple,
25/10/2023,08.30am,Out,Car,1,White,Audi
25/10/2023,08.30am,Out,Lorry,1,White,DAF
25/10/2023,08.30am,Out,Bus,1%,Orange,
25/10/2023,08.30am,Out,Van,1,White,Ford
25/10/2023,08.30am,Out,Bus,1%,White,
25/10/2023,08.35am,Out,Taxi,1,White,Mercedes-Benz
25/10/2023,08.35am,Out,Car,1,Green,Vauxhall
25/10/2023,08.35am,Out,Bus,2%,Green,
25/10/2023,08.35am,Out,Van,1,Grey,Renault
25/10/2023,08.35am,Out,Van,1,White,Ford
25/10/2023,08.35am,Out,Bus,1%,Blue,
25/10/2023,08.35am,Out,Bus,1%,Blue,
25/10/2023,08.35am,Out,Car,1,Black,Renault
25/10/2023,08.35am,Out,Car,2,Black,Vauxhall
25/10/2023,08.40am,Out,Van,1,Black,Peugeot
25/10/2023,08.40am,Out,Car,1,Grey,Vauxhall
25/10/2023,08.40am,Out,Lorry,1,Blue,DAF
25/10/2023,08.40am,Out,Lorry,1,White,DAF
25/10/2023,08.40am,Out,Car,2,Black,Ford
25/10/2023,08.40am,Out,Bus,2%,Blue,
25/10/2023,08.40am,Out,Car,1,Black,Ford
25/10/2023,08.40am,Out,Car,1,Black,Toyota
25/10/2023,08.40am,Out,Car,2,Black,Citroen
25/10/2023,08.40am,Out,Van,1,White,Mercedes-Benz
25/10/2023,08.45am,Out,Car,1,Black,BMW
25/10/2023,08.45am,Out,Bus,1%,Blue,
25/10/2023,08.45am,Out,Bus,1%,Green,
25/10/2023,08.45am,Out,Taxi,1,Black,Toyota
