Date,Time,Direction,Type,Occupancy,Is Electric
24-10-2023,9:30am,in,car,1,No
24-10-2023,9:30am,in,car,1,No
24-10-2023,9:30am,in,car,1,No
24-10-2023,9:30am,in,car,1,No
24-10-2023,9:30am,in,car,1,No
24-10-2023,9:30am,in,car,1,No
24-10-2023,9:30am,in,car,1,No
24-10-2023,9:35am,in,bus,95%,No
24-10-2023,9:35am,in,car,1,No
24-10-2023,9:35am,in,car,1,No
24-10-2023,9:35am,in,car,1,No
24-10-2023,9:35am,in,car,1,No
24-10-2023,9:35am,in,car,1,No
24-10-2023,9:35am,in,bus,75%,No
24-10-2023,9:35am,in,car,1,No
24-10-2023,9:35am,in,car,1,No
24-10-2023,9:35am,in,car,1,Yes
24-10-2023,9:35am,in,car,1,No
24-10-2023,9:35am,in,car,1,No
24-10-2023,9:35am,in,car,1,No
24-10-2023,9:35am,in,bus,10%,No
24-10-2023,9:35am,in,car,1,No
24-10-2023,9:35am,in,bus,15%,No
24-10-2023,9:35am,in,car,2,No
24-10-2023,9:35am,in,car,2,No
24-10-2023,9:35am,in,car,2,No
24-10-2023,9:35am,in,car,1,No
24-10-2023,9:35am,in,car,2,No
24-10-2023,9:35am,in,bus,15%,No
24-10-2023,9:35am,in,car,1,No
24-10-2023,9:35am,in,car,1,No
24-10-2023,9:40am,in,car,2,No
24-10-2023,9:40am,in,car,1,No
24-10-2023,9:40am,in,car,1,No
24-10-2023,9:40am,in,taxi,1,No
24-10-2023,9:40am,in,taxi,1,No
24-10-2023,9:40am,in,car,1,No
24-10-2023,9:40am,in,car,1,No
24-10-2023,9:40am,in,car,2,No
24-10-2023,9:40am,in,car,1,No
24-10-2023,9:40am,in,motorbike,1,No
24-10-2023,9:40am,in,car,1,No
24-10-2023,9:40am,in,car,1,No
24-10-2023,9:40am,in,car,3,No
24-10-2023,9:40am,in,van,1,No
24-10-2023,9:40am,in,car,2,No
24-10-2023,9:40am,in,taxi,2,Yes
24-10-2023,9:40am,in,bicycle,1,No
24-10-2023,9:40am,in,bicycle,1,No
24-10-2023,9:40am,in,car,2,No
24-10-2023,9:40am,in,car,1,No
24-10-2023,9:40am,in,car,1,No
24-10-2023,9:40am,in,car,3,No
24-10-2023,9:40am,in,car,1,No
24-10-2023,9:40am,in,car,1,No
24-10-2023,9:40am,in,car,3,No
24-10-2023,9:40am,in,car,2,No
24-10-2023,9:45am,in,car,1,No
24-10-2023,9:45am,in,car,2,No
24-10-2023,9:45am,in,car,2,No
24-10-2023,9:45am,in,car,1,No
24-10-2023,9:45am,in,car,1,No
24-10-2023,9:45am,in,car,1,No
24-10-2023,9:45am,in,car,1,No
24-10-2023,9:45am,in,car,2,No
24-10-2023,9:45am,in,car,1,No
24-10-2023,9:45am,in,car,2,No
24-10-2023,9:45am,in,car,2,No
24-10-2023,9:45am,in,car,5,No
24-10-2023,9:45am,in,car,3,No
24-10-2023,9:45am,in,car,2,No
24-10-2023,9:45am,in,car,4,No
24-10-2023,9:45am,in,motorbike,1,No
24-10-2023,9:50am,in,bus,85%,No
24-10-2023,9:50am,in,car,1,No
24-10-2023,9:50am,in,car,1,No
24-10-2023,9:50am,in,car,2,No
24-10-2023,9:50am,in,car,1,No
24-10-2023,9:50am,in,car,4,No
24-10-2023,9:50am,in,bicycle,1,No
24-10-2023,9:50am,in,car,1,No
24-10-2023,9:50am,in,car,1,No
24-10-2023,9:50am,in,car,3,No
24-10-2023,9:50am,in,car,4,No
24-10-2023,9:50am,in,car,2,No
24-10-2023,9:50am,in,car,2,No
24-10-2023,9:50am,in,car,1,No
24-10-2023,9:50am,in,car,1,No
24-10-2023,9:50am,in,car,2,No
24-10-2023,9:50am,in,car,1,No
24-10-2023,9:50am,in,car,2,No
24-10-2023,9:50am,in,car,1,No
24-10-2023,9:50am,in,car,2,No
24-10-2023,9:50am,in,car,1,No
24-10-2023,9:50am,in,car,1,No
24-10-2023,9:50am,in,car,3,No
24-10-2023,9:50am,in,car,1,No
24-10-2023,9:50am,in,car,1,No
24-10-2023,9:50am,in,car,3,No
24-10-2023,9:50am,in,car,1,No
24-10-2023,9:50am,in,car,2,No
24-10-2023,9:50am,in,bicycle,1,No
24-10-2023,9:50am,in,car,1,No
24-10-2023,9:50am,in,car,1,No
24-10-2023,9:50am,in,car,1,No
24-10-2023,9:50am,in,car,3,No
24-10-2023,9:50am,in,bicycle,1,No
24-10-2023,9:50am,in,car,3,No
24-10-2023,9:50am,in,bus,70%,No
24-10-2023,9:50am,in,car,1,No
24-10-2023,9:50am,in,van,1,No
24-10-2023,9:50am,in,car,1,No
24-10-2023,9:50am,in,car,1,No
24-10-2023,9:50am,in,car,1,No
24-10-2023,9:50am,in,car,1,No
24-10-2023,9:50am,in,car,1,No
24-10-2023,9:50am,in,bicycle,1,No
24-10-2023,9:50am,in,car,1,No
24-10-2023,9:55am,in,car,1,No
24-10-2023,9:55am,in,car,2,No
24-10-2023,9:55am,in,car,2,No
24-10-2023,9:55am,in,car,3,No
24-10-2023,9:55am,in,van,1,No
24-10-2023,9:55am,in,car,2,No
24-10-2023,9:55am,in,car,1,No
24-10-2023,9:55am,in,car,1,No
24-10-2023,9:55am,in,bus,100%,No
24-10-2023,9:55am,in,car,1,No
24-10-2023,9:55am,in,van,3,No
24-10-2023,9:55am,in,car,1,No
24-10-2023,9:55am,in,car,2,No
24-10-2023,9:55am,in,car,1,No
24-10-2023,9:55am,in,car,1,No
24-10-2023,9:55am,in,car,2,No
24-10-2023,9:55am,in,car,1,No
24-10-2023,9:55am,in,car,1,No
24-10-2023,9:55am,in,car,1,No
24-10-2023,9:55am,in,car,2,No
24-10-2023,9:55am,in,car,3,No
24-10-2023,9:55am,in,car,1,No
24-10-2023,9:55am,in,car,1,No
24-10-2023,9:55am,in,car,5,No
24-10-2023,9:55am,in,car,2,No
24-10-2023,9:55am,in,car,2,No
24-10-2023,9:55am,in,bus,100%,No
24-10-2023,9:55am,in,car,2,No
24-10-2023,9:55am,in,car,1,No
24-10-2023,9:55am,in,car,2,No
24-10-2023,9:55am,in,car,2,No
24-10-2023,9:55am,in,car,1,No
24-10-2023,9:55am,in,car,2,No
24-10-2023,9:55am,in,car,1,No
24-10-2023,9:55am,in,car,1,No
24-10-2023,9:55am,in,car,3,No
24-10-2023,9:55am,in,car,2,No
24-10-2023,9:55am,in,lorry,1,No
24-10-2023,9:55am,in,car,3,No
24-10-2023,9:55am,in,car,1,No
24-10-2023,9:55am,in,car,1,No
24-10-2023,10:00am,in,bicycle,1,No
24-10-2023,10:00am,in,bicycle,1,No
24-10-2023,10:00am,in,taxi,2,No
24-10-2023,10:00am,in,car,4,No
24-10-2023,10:00am,in,car,1,No
24-10-2023,10:00am,in,car,1,No
24-10-2023,10:00am,in,car,4,No
24-10-2023,10:00am,in,car,2,No
24-10-2023,10:00am,in,car,2,No
24-10-2023,10:00am,in,car,2,No
24-10-2023,10:00am,in,car,2,No
24-10-2023,10:00am,in,car,2,No
24-10-2023,10:00am,in,car,1,No
24-10-2023,10:00am,in,car,1,No
24-10-2023,10:00am,in,car,1,No
24-10-2023,10:00am,in,car,3,Yes
24-10-2023,10:00am,in,car,1,No
