Date,Time,Direction,Type,Occupancy,Service,Size
25-10-2023,10.30 am,out,car,1,null,null
25-10-2023,10.30 am,out,car,1,null,null
25-10-2023,10.35 am,out,car,2,null,null
25-10-2023,10.35 am,out,car,1,null,null
25-10-2023,10.35 am,out,bus,5%,U2,double decker
25-10-2023,10.35 am,out,bus,5%,U1,double decker
25-10-2023,10.35 am,out,motorbike,1,null,null
25-10-2023,10.35 am,out,motorbike,1,null,null
25-10-2023,10.40 am,out,car,1,null,null
25-10-2023,10.40 am,out,car,3,null,null
25-10-2023,10.40 am,out,van,1,null,null
25-10-2023,10.40 am,out,car,1,null,null
25-10-2023,10.40 am,out,taxi,1,null,null
25-10-2023,10.40 am,out,bus,15%,,single decker
25-10-2023,10.40 am,out,car,2,null,null
25-10-2023,10.40 am,out,lorry,1,null,null
25-10-2023,10.40 am,out,bus,5%,U1,double decker
25-10-2023,10.40 am,out,car,2,null,null
25-10-2023,10.40 am,out,bus,5%,U2,double decker
25-10-2023,10.40 am,out,van,1,null,null
25-10-2023,10.40 am,out,van,1,null,null
25-10-2023,10.45 am,out,van,1,null,null
25-10-2023,10.45 am,out,van,1,null,null
25-10-2023,10.45 am,out,car,2,null,null
25-10-2023,10.45 am,out,car,2,null,null
25-10-2023,10.45 am,out,bus,5%,U2,single decker
25-10-2023,10.45 am,out,bus,10%,U1,double decker
25-10-2023,10.45 am,out,car,1,null,null
25-10-2023,10.45 am,out,car,1,null,null
25-10-2023,10.50 am,out,car,2,null,null
25-10-2023,10.50 am,out,car,1,null,null
25-10-2023,10.50 am,out,car,1,null,null
25-10-2023,10.50 am,out,car,2,null,null
25-10-2023,10.50 am,out,car,2,null,null
25-10-2023,10.50 am,out,car,2,null,null
25-10-2023,10.50 am,out,van,1,null,null
25-10-2023,10.50 am,out,van,1,null,null
25-10-2023,10.55 am,out,car,2,null,null
25-10-2023,10.55 am,out,car,1,null,null
25-10-2023,10.55 am,out,van,1,null,null
25-10-2023,10.55 am,out,bus,30%,U1,double decker
25-10-2023,10.55 am,out,bus,5%,U2,double decker
25-10-2023,10.55 am,out,car,5,null,null
25-10-2023,10.55 am,out,car,1,null,null
25-10-2023,10.55 am,out,car,1,null,null
25-10-2023,10.55 am,out,taxi,1,null,null
25-10-2023,10.55 am,out,taxi,1,null,null
25-10-2023,10.55 am,out,bus,5%,null,double decker
25-10-2023,11.00 am,out,van,1,null,null
25-10-2023,11.00 am,out,car,2,null,null
25-10-2023,11.00 am,out,van,1,null,null
25-10-2023,11.00 am,out,car,2,null,null
