Date,Time,Direction,Type,Occupancy,Public Vehicle,Safety
26-10-2023,10.35am,out,bicycle,1,1.0,0.0
26-10-2023,10.45am,out,bicycle,1,1.0,0.0
26-10-2023,10.50am,out,bicycle,1,0.0,1.0
26-10-2023,10.40am,out,motorbike,1,0.0,1.0
26-10-2023,10.50am,out,motorbike,1,0.0,0.0
26-10-2023,10.30am,out,car,4,,
26-10-2023,10.30am,out,car,1,,
26-10-2023,10.30am,out,car,3,,
26-10-2023,10.30am,out,car,1,,
26-10-2023,10.30am,out,car,1,,
26-10-2023,10.30am,out,car,1,,
26-10-2023,10.30am,out,car,1,,
26-10-2023,10.30am,out,car,1,,
26-10-2023,10.30am,out,car,1,,
26-10-2023,10.35am,out,car,2,,
26-10-2023,10.35am,out,car,1,,
26-10-2023,10.35am,out,car,1,,
26-10-2023,10.35am,out,car,2,,
26-10-2023,10.35am,out,car,1,,
26-10-2023,10.35am,out,car,1,,
26-10-2023,10.35am,out,car,1,,
26-10-2023,10.35am,out,car,1,,
26-10-2023,10.40am,out,car,1,,
26-10-2023,10.40am,out,car,1,,
26-10-2023,10.40am,out,car,3,,
26-10-2023,10.40am,out,car,1,,
26-10-2023,10.40am,out,car,2,,
26-10-2023,10.40am,out,car,2,,
26-10-2023,10.40am,out,car,1,,
26-10-2023,10.40am,out,car,2,,
26-10-2023,10.40am,out,car,1,,
26-10-2023,10.40am,out,car,2,,
26-10-2023,10.40am,out,car,1,,
26-10-2023,10.40am,out,car,1,,
26-10-2023,10.40am,out,car,4,,
26-10-2023,10.45am,out,car,1,,
26-10-2023,10.45am,out,car,1,,
26-10-2023,10.45am,out,car,4,,
26-10-2023,10.45am,out,car,1,,
26-10-2023,10.45am,out,car,1,,
26-10-2023,10.45am,out,car,3,,
26-10-2023,10.50am,out,car,1,,
26-10-2023,10.50am,out,car,1,,
26-10-2023,10.50am,out,car,1,,
26-10-2023,10.50am,out,car,1,,
26-10-2023,10.50am,out,car,1,,
26-10-2023,10.50am,out,car,1,,
26-10-2023,10.55am,out,car,1,,
26-10-2023,10.55am,out,car,1,,
26-10-2023,10.55am,out,taxi,1,,
26-10-2023,10.30am,out,van,1,,
26-10-2023,10.40am,out,van,1,,
26-10-2023,10.40am,out,van,1,,
26-10-2023,10.40am,out,van,1,,
26-10-2023,10.55am,out,van,1,,
26-10-2023,10.30am,out,lorry,1,,
26-10-2023,10.35am,out,lorry,1,,
26-10-2023,10.35am,out,lorry,1,,
26-10-2023,10.35am,out,lorry,1,,
26-10-2023,10.55am,out,lorry,1,,
26-10-2023,10.30am,out,bus,5%,,
26-10-2023,10.30am,out,bus,5%,,
26-10-2023,10.35am,out,bus,1%,,
26-10-2023,10.35am,out,bus,2%,,
26-10-2023,10.40am,out,bus,2%,,
26-10-2023,10.40am,out,bus,5%,,
26-10-2023,10.45am,out,bus,5%,,
26-10-2023,10.50am,out,bus,5%,,
26-10-2023,10.55am,out,bus,5%,,
26-10-2023,10.55am,out,bus,10%,,
