Date,Time,Direction,Type,Occupancy,Electric,Family Car
25-10-2023,9.30am,out,car,3,no,yes
25-10-2023,9.30am,out,car,2,no,no
25-10-2023,9.30am,out,van,1,no,null
25-10-2023,9.30am,out,car,1,yes,yes
25-10-2023,9.30am,out,car,2,no,yes
25-10-2023,9.30am,out,bus,10%,no,null
25-10-2023,9.30am,out,car,1,no,no
25-10-2023,9.30am,out,bus,0%,no,null
25-10-2023,9.30am,out,van,1,no,null
25-10-2023,9.30am,out,car,1,no,yes
25-10-2023,9.35am,out,bus,0%,no,null
25-10-2023,9.35am,out,car,1,no,yes
25-10-2023,9.35am,out,car,1,no,yes
25-10-2023,9.35am,out,bus,10%,no,null
25-10-2023,9.35am,out,car,1,no,yes
25-10-2023,9.40am,out,car,2,no,no
25-10-2023,9.40am,out,bus,0%,no,null
25-10-2023,9.40am,out,van,1,no,null
25-10-2023,9.40am,out,bus,0%,no,null
25-10-2023,9.40am,out,bus,10%,no,null
25-10-2023,9.40am,out,bicycle,1,null,null
25-10-2023,9.40am,out,lorry,1,no,null
25-10-2023,9.40am,out,van,2,no,null
25-10-2023,9.40am,out,car,2,no,yes
25-10-2023,9.40am,out,car,1,no,no
25-10-2023,9.40am,out,car,1,no,yes
25-10-2023,9.40am,out,scooter,1,no,null
25-10-2023,9.45am,out,car,1,no,yes
25-10-2023,9.45am,out,bus,0%,no,null
25-10-2023,9.45am,out,bicycle,1,null,null
25-10-2023,9.45am,out,bus,0%,no,null
25-10-2023,9.45am,out,car,1,no,no
25-10-2023,9.45am,out,car,2,no,yes
25-10-2023,9.50am,out,bus,5%,no,null
25-10-2023,9.50am,out,car,2,no,yes
25-10-2023,9.50am,out,bus,0%,no,null
25-10-2023,9.50am,out,lorry,1,no,null
25-10-2023,9.50am,out,car,1,no,yes
25-10-2023,9.50am,out,bus,0%,no,null
25-10-2023,9.50am,out,car,1,yes,yes
25-10-2023,9.50am,out,van,2,no,null
25-10-2023,9.50am,out,car,1,no,yes
25-10-2023,9.55am,out,taxi,1,no,null
25-10-2023,9.55am,out,lorry,1,no,null
25-10-2023,9.55am,out,taxi,1,no,null
25-10-2023,9.55am,out,car,1,no,no
25-10-2023,9.55am,out,van,1,no,null
25-10-2023,9.55am,out,car,1,no,yes
25-10-2023,9.55am,out,car,1,no,yes
25-10-2023,9.55am,out,car,1,no,yes
25-10-2023,9.55am,out,car,1,no,yes
25-10-2023,9.55am,out,car,1,no,yes
25-10-2023,9.55am,out,car,1,no,yes
25-10-2023,9.55am,out,bus,5%,no,null
25-10-2023,9.55am,out,bus,0%,no,null
