Date,Time,Direction,Type,Occupancy,Colour,Brand
25-10-2023,8.45am,in,car,2,Blue,MIni
25-10-2023,8.45am,in,car,1,White,Ford
25-10-2023,8.45am,in,car,1,Blue,BMW
25-10-2023,8.45am,in,car,1,Grey,Ford
25-10-2023,8.45am,in,car,2,Blue,Audi
25-10-2023,8.45am,in,car,1,Blue,Volkswagen
25-10-2023,8.45am,in,car,2,Blue,Ford
25-10-2023,8.45am,in,bus,70%,Blue,
25-10-2023,8.45am,in,car,2,Red,Ford
25-10-2023,8.45am,in,car,2,Red,Skoda
25-10-2023,8.45am,in,car,2,White,Hyundai
25-10-2023,8.45am,in,car,1,Black,Skoda
25-10-2023,8.45am,in,car,1,Black,Ford
25-10-2023,8.45am,in,car,2,Black,Volvo
25-10-2023,8.50am,in,car,1,Grey,Volkswagen
