Date,Time,Direction,Type,Occupancy,Electric
23-10-2023,10:20am,Out,Car,1,No
23-10-2023,10:20am,Out,Taxi,1,No
23-10-2023,10:20am,Out,Lorry,1,No
23-10-2023,10:20am,Out,Lorry,1,No
23-10-2023,10:20am,Out,Bus,5,No
23-10-2023,10:20am,In,Bus,20,No
23-10-2023,10:20am,In,Car,1,No
23-10-2023,10:20am,In,Car,1,No
23-10-2023,10:20am,In,Motorbike,1,No
23-10-2023,10:20am,In,Car,1,No
23-10-2023,10:20am,In,Lorry,1,No
23-10-2023,10:25am,Out,Lorry,1,No
23-10-2023,10:25am,Out,Bus,20,No
23-10-2023,10:25am,Out,Car,1,No
23-10-2023,10:25am,Out,Van,1,No
23-10-2023,10:25am,Out,Car,1,No
23-10-2023,10:25am,Out,Bus,1,No
23-10-2023,10:25am,Out,Car,1,No
23-10-2023,10:25am,Out,Lorry,2,No
23-10-2023,10:25am,Out,Bus,1,No
23-10-2023,10:25am,Out,Car,1,No
23-10-2023,10:25am,In,Car,1,No
23-10-2023,10:25am,In,Bicycle,1,No
23-10-2023,10:25am,In,Car,1,No
23-10-2023,10:25am,In,Van,1,No
23-10-2023,10:25am,In,Van,1,No
23-10-2023,10:25am,In,Car,2,No
23-10-2023,10:25am,In,Bus,25,No
23-10-2023,10:25am,In,Car,1,No
23-10-2023,10:25am,In,Car,1,No
23-10-2023,10:25am,In,Car,2,No
23-10-2023,10:25am,In,Car,3,No
23-10-2023,10:25am,In,Car,1,No
23-10-2023,10:25am,In,Car,1,No
23-10-2023,10:25am,In,Car,2,No
23-10-2023,10:25am,In,Car,4,No
23-10-2023,10:25am,In,Car,1,No
23-10-2023,10:25am,In,Car,1,No
23-10-2023,10:25am,In,Car,1,No
23-10-2023,10:30am,Out,Van,1,No
23-10-2023,10:30am,Out,Bus,4,No
23-10-2023,10:30am,Out,Bus,1,No
23-10-2023,10:30am,Out,Car,1,No
23-10-2023,10:30am,Out,Car,1,No
23-10-2023,10:30am,Out,Car,1,No
23-10-2023,10:30am,In,Bus,15,No
23-10-2023,10:30am,In,Car,2,No
23-10-2023,10:30am,In,Car,1,No
23-10-2023,10:30am,In,Car,1,No
23-10-2023,10:30am,In,Car,2,No
23-10-2023,10:30am,In,Car,1,No
23-10-2023,10:30am,In,Car,1,No
23-10-2023,10:30am,In,Van,1,No
23-10-2023,10:30am,In,Van,1,No
23-10-2023,10:30am,In,Bus,40,No
23-10-2023,10:30am,In,Car,1,No
23-10-2023,10:30am,In,Car,1,No
23-10-2023,10:30am,In,Car,1,No
23-10-2023,10:30am,In,Bus,20,No
23-10-2023,10:30am,In,Car,1,No
23-10-2023,10:30am,In,Lorry,1,No
23-10-2023,10:30am,In,Car,1,No
23-10-2023,10:30am,In,Car,2,No
23-10-2023,10:30am,In,Car,1,No
23-10-2023,10:30am,In,Car,1,No
23-10-2023,10:30am,In,Car,1,No
23-10-2023,10:30am,In,Car,2,No
23-10-2023,10:30am,In,Bicycle,1,No
23-10-2023,10:35am,Out,Van,1,No
23-10-2023,10:35am,Out,Van,1,No
23-10-2023,10:35am,Out,Car,1,No
23-10-2023,10:35am,Out,Car,2,No
23-10-2023,10:35am,Out,Bus,5,No
23-10-2023,10:35am,Out,Car,1,No
23-10-2023,10:35am,Out,Car,1,No
23-10-2023,10:35am,Out,Bus,1,No
23-10-2023,10:35am,Out,Bus,1,No
23-10-2023,10:35am,Out,Car,1,No
23-10-2023,10:35am,In,Car,2,No
23-10-2023,10:35am,In,Car,1,No
23-10-2023,10:35am,In,Van,1,No
23-10-2023,10:35am,In,Car,1,No
23-10-2023,10:35am,In,Car,1,No
23-10-2023,10:35am,In,Car,1,No
23-10-2023,10:35am,In,Bicycle,7,No
23-10-2023,10:35am,In,Car,1,No
23-10-2023,10:35am,In,Car,1,No
23-10-2023,10:35am,In,Car,2,No
23-10-2023,10:35am,In,Car,1,No
23-10-2023,10:35am,In,Car,1,No
23-10-2023,10:35am,In,Car,2,No
23-10-2023,10:35am,In,Car,1,No
23-10-2023,10:35am,In,Car,1,No
23-10-2023,10:40am,Out,Bus,1,No
23-10-2023,10:40am,Out,Lorry,1,No
23-10-2023,10:40am,Out,Car,1,No
23-10-2023,10:40am,Out,Car,2,No
23-10-2023,10:40am,Out,Car,1,No
23-10-2023,10:40am,Out,Car,1,No
23-10-2023,10:40am,In,Car,2,No
23-10-2023,10:40am,In,Car,1,No
23-10-2023,10:40am,In,Car,1,Yes
23-10-2023,10:40am,In,Car,2,No
23-10-2023,10:40am,In,Car,1,No
23-10-2023,10:40am,In,Car,1,No
23-10-2023,10:40am,In,Car,2,No
23-10-2023,10:40am,In,Car,1,No
23-10-2023,10:40am,In,Car,1,No
23-10-2023,10:40am,In,Van,1,No
23-10-2023,10:40am,In,Bus,30,No
23-10-2023,10:40am,In,Car,1,No
23-10-2023,10:40am,In,Car,1,No
23-10-2023,10:40am,In,Bus,30,No
23-10-2023,10:40am,In,Car,1,No
23-10-2023,10:40am,In,Car,1,No
23-10-2023,10:40am,In,Car,1,No
23-10-2023,10:40am,In,Car,1,No
23-10-2023,10:40am,In,Car,1,No
23-10-2023,10:40am,In,Lorry,1,No
23-10-2023,10:40am,In,Car,2,No
23-10-2023,10:40am,In,Car,1,No
23-10-2023,10:40am,In,Car,1,No
23-10-2023,10:45am,Out,Bus,1,No
23-10-2023,10:45am,Out,Car,1,No
23-10-2023,10:45am,Out,Taxi,1,No
23-10-2023,10:45am,Out,Car,1,No
23-10-2023,10:45am,Out,Lorry,1,No
23-10-2023,10:45am,Out,Car,1,No
23-10-2023,10:45am,Out,Car,1,No
23-10-2023,10:45am,Out,Car,1,No
23-10-2023,10:45am,Out,Car,1,No
23-10-2023,10:45am,In,Car,1,No
23-10-2023,10:45am,In,Van,1,No
23-10-2023,10:45am,In,Car,2,No
23-10-2023,10:45am,In,Car,3,No
23-10-2023,10:45am,In,Car,1,No
23-10-2023,10:45am,In,Bus,50,No
23-10-2023,10:45am,In,Bus,35,No
23-10-2023,10:45am,In,Lorry,1,No
23-10-2023,10:45am,In,Taxi,2,Yes
23-10-2023,10:45am,In,Car,1,No
23-10-2023,10:45am,In,Taxi,2,No
23-10-2023,10:45am,In,Car,4,No
23-10-2023,10:45am,In,Car,2,No
23-10-2023,10:45am,In,Car,1,No
23-10-2023,10:45am,In,Car,1,No
23-10-2023,10:45am,In,Car,1,No
23-10-2023,10:45am,In,Car,1,No
23-10-2023,10:45am,In,Car,1,No
23-10-2023,10:45am,In,Car,2,No
23-10-2023,10:45am,In,Car,1,No
23-10-2023,10:45am,In,Car,1,No
23-10-2023,10:45am,In,Bus,55,No
23-10-2023,10:45am,In,Car,1,No
23-10-2023,10:50am,Out,Taxi,1,No
23-10-2023,10:50am,Out,Bus,1,No
23-10-2023,10:50am,Out,Car,1,No
23-10-2023,10:50am,Out,Car,1,No
23-10-2023,10:50am,In,Car,1,No
23-10-2023,10:50am,In,Car,1,No
23-10-2023,10:50am,In,Car,1,No
23-10-2023,10:50am,In,Car,1,No
23-10-2023,10:50am,In,Car,1,No
23-10-2023,10:50am,In,Car,1,No
23-10-2023,10:50am,In,Car,1,No
23-10-2023,10:50am,In,Car,1,No
23-10-2023,10:50am,In,Car,1,No
23-10-2023,10:50am,In,Car,1,Yes
