Date,Time,Direction,Type,Occupancy,Brand,Colour
25-10-2023,10.30am,out,car,1,Ford,Grey
25-10-2023,10.30am,out,bus,5%,FirstGroup,Purple
25-10-2023,10.30am,out,car,3,Skoda,Grey
25-10-2023,10.30am,out,car,2,Nissan,Grey
25-10-2023,10.30am,out,car,1,Toyota,Black
25-10-2023,10.30am,out,car,1,Ford,Grey
25-10-2023,10.30am,out,bus,5%,FirstGroup,Pink
25-10-2023,10.30am,out,car,1,Toyota,Grey
25-10-2023,10.30am,out,car,2,Fiat,Grey
25-10-2023,10.30am,out,car,2,Volkswagen,White
25-10-2023,10.30am,out,bus,10%,FirstGroup,Purple
25-10-2023,10.30am,out,bicycle,1,NA,Black
25-10-2023,10.35am,out,car,2,BMW,Black
25-10-2023,10.35am,out,car,1,Vauxhall,Grey
25-10-2023,10.35am,out,car,3,Renault,Black
25-10-2023,10.35am,out,van,2,Kia,White
25-10-2023,10.35am,out,car,1,Audi,White
25-10-2023,10.35am,out,car,2,Renault,Grey
25-10-2023,10.35am,out,car,1,Hyundai,White
25-10-2023,10.35am,out,car,1,Ford,Black
25-10-2023,10.35am,out,car,2,Ford,White
25-10-2023,10.35am,out,bus,10%,FirstGroup,Blue
25-10-2023,10.35am,out,car,1,Tesla,Black
25-10-2023,10.35am,out,car,2,Mazda,Grey
25-10-2023,10.40am,out,car,1,Mercedes,Blue
25-10-2023,10.40am,out,car,3,Audi,Black
25-10-2023,10.40am,out,motorbike,1,Honda,Black
25-10-2023,10.40am,out,car,1,Skoda,White
25-10-2023,10.40am,out,car,1,Mitsubishi,Red
25-10-2023,10.40am,out,van,2,Kia,Grey
25-10-2023,10.45am,out,bus,10%,FirstGroup,Blue
25-10-2023,10.45am,out,car,1,Toyota,Grey
25-10-2023,10.45am,out,car,2,BMW,White
25-10-2023,10.45am,out,car,1,Citroen,Grey
25-10-2023,10.45am,out,car,2,Kia,Grey
25-10-2023,10.45am,out,car,3,BMW,Black
25-10-2023,10.45am,out,car,2,Fiat,Grey
25-10-2023,10.45am,out,motorbike,1,NA,Black
25-10-2023,10.45am,out,car,2,Audi,White
25-10-2023,10.45am,out,car,1,Mazda,White
25-10-2023,10.50am,out,car,1,Skoda,Black
25-10-2023,10.50am,out,car,2,Fiat,White
25-10-2023,10.50am,out,bus,0%,FirstGroup,White
25-10-2023,10.50am,out,bicycle,1,NA,Grey
25-10-2023,10.50am,out,car,1,Mazda,Black
25-10-2023,10.55am,out,car,2,Ford,White
25-10-2023,10.55am,out,bus,10%,FirstGroup,Purple
