,date,time,direction,vehicle_type,occupancy,safety,manufacturing_data,manufactured_after_2015
164,25/10/2023,09:55,in,van,1,1,20,1
165,25/10/2023,09:55,in,van,1,1,62,0
166,25/10/2023,09:55,in,van,1,1,18,1
167,25/10/2023,09:55,in,van,2,1,50,0
168,25/10/2023,09:55,in,van,1,1,73,1
169,25/10/2023,09:55,in,van,1,1,21,1
170,25/10/2023,09:55,in,lorry,1,1,73,1
171,25/10/2023,09:55,in,scooter,1,1,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
