Date,Time,Direction,Type,Occupancy,Electric
25-10-2023,11.53am,out,Car,3,N
25-10-2023,11.53am,out,Car,1,N
25-10-2023,11.53am,out,Car,2,N
25-10-2023,11.53am,out,Bicycle,1,N
25-10-2023,11.54am,out,Car,1,N
25-10-2023,11.55am,out,Car,1,N
25-10-2023,11.55am,out,Car,2,N
25-10-2023,11.55am,out,Car,2,N
25-10-2023,11.56am,out,Car,3,N
25-10-2023,11.56am,out,Car,3,N
25-10-2023,11.57am,out,Van,2,N
25-10-2023,11.58am,out,Car,2,N
25-10-2023,11.58am,out,Bus,5%,N
25-10-2023,11.59am,out,Van,2,N
25-10-2023,12.00am,out,Car,1,Y
25-10-2023,12.00am,out,Taxi,1,N
25-10-2023,12.00am,out,Car,2,N
25-10-2023,12.01am,out,Car,1,N
25-10-2023,12.01am,out,Car,1,N
25-10-2023,12.03pm,out,Van,1,N
25-10-2023,12.03pm,out,Car,1,N
25-10-2023,11.40am,out,Car,2,N
25-10-2023,11.40am,out,Car,3,N
25-10-2023,11.40am,out,Van,2,Y
25-10-2023,11.40am,out,Car,2,N
25-10-2023,11.40am,out,Car,2,N
25-10-2023,11.41am,out,Van,3,N
25-10-2023,11.43am,out,Bus,5%,N
25-10-2023,11.43am,out,Bus,5%,N
25-10-2023,11.44am,out,Taxi,1,N
25-10-2023,11.44am,out,Car,1,N
25-10-2023,11.46am,out,Car,1,N
25-10-2023,11.46am,out,Van,1,N
25-10-2023,11.46am,out,Van,1,N
25-10-2023,11.47am,out,Van,1,N
25-10-2023,11.47am,out,Car,1,N
25-10-2023,11.47am,out,Car,2,Y
25-10-2023,11.48am,out,Bus,10%,N
25-10-2023,11.49am,out,Car,1,N
25-10-2023,11.49am,out,Car,1,N
25-10-2023,11.50am,out,Van,2,N
25-10-2023,11.51am,out,Bus,10%,N
25-10-2023,11.52am,out,Bus,5%,N
25-10-2023,11.52am,out,Van,2,N
25-10-2023,11.40am,in,Bus,50%,N
25-10-2023,11.40am,in,Car,1,N
25-10-2023,11.40am,in,Car,1,N
25-10-2023,11.41am,in,Taxi,1,N
25-10-2023,11.41am,in,Bus,30%,N
25-10-2023,11.41am,in,Car,2,Y
25-10-2023,11.42am,in,Van,1,N
25-10-2023,11.42am,in,Car,1,N
25-10-2023,11.43am,in,Car,2,Y
25-10-2023,11.43am,in,Car,2,N
25-10-2023,11.43am,in,Car,2,N
25-10-2023,11.43am,in,Car,3,N
25-10-2023,11.44am,in,Car,1,N
25-10-2023,11.44am,in,Car,1,N
25-10-2023,11.46am,in,Car,1,N
25-10-2023,11.45am,in,Car,3,Y
25-10-2023,11.46am,in,Car,1,N
25-10-2023,11.46am,in,Car,1,N
25-10-2023,11.47am,in,Car,2,N
25-10-2023,11.48am,in,Van,1,Y
25-10-2023,11.48am,in,Car,1,N
25-10-2023,11.49am,in,Bus,30%,N
25-10-2023,11.50am,in,Car,1,N
25-10-2023,11.50am,in,Car,1,N
25-10-2023,11.51am,in,Van,1,N
25-10-2023,11.51am,in,Car,2,N
25-10-2023,11.51am,in,Car,1,N
25-10-2023,11.51am,in,Car,2,Y
25-10-2023,11.52am,in,Taxi,3,N
25-10-2023,11.53am,in,Car,2,N
25-10-2023,11.53am,in,Car,1,N
25-10-2023,11.53am,in,Car,1,N
25-10-2023,11.54am,in,Bicycle,1,N
25-10-2023,11.54am,in,Taxi,1,N
25-10-2023,11.55am,in,Car,2,N
25-10-2023,11.55am,in,Van,1,N
25-10-2023,11.56am,in,Car,3,N
25-10-2023,11.56am,in,Car,2,N
25-10-2023,11.57am,in,Car,1,N
25-10-2023,11.57am,in,Car,1,N
25-10-2023,11.58am,in,Bus,10%,N
25-10-2023,11.59am,in,Taxi,2,N
25-10-2023,11.59am,in,Car,2,N
25-10-2023,12.00pm,in,Bus,100%,N
25-10-2023,12.00pm,in,Taxi,2,N
25-10-2023,12.01pm,in,Car,1,N
25-10-2023,12.01pm,in,Car,1,N
25-10-2023,12.02pm,in,Bus,10%,N
25-10-2023,12.02pm,in,Car,3,N
25-10-2023,12.03pm,in,Taxi,2,N
25-10-2023,12.03pm,in,Taxi,1,N
25-10-2023,12.03pm,in,Car,2,N
25-10-2023,12.04pm,in,Bus,10%,N
25-10-2023,12.04pm,in,Van,1,N
25-10-2023,12.05pm,in,Car,1,N
25-10-2023,12.05pm,in,Car,2,N
25-10-2023,12.06pm,in,Car,1,N
25-10-2023,12.06pm,in,Car,1,N
25-10-2023,12.06pm,in,Car,1,N
