Date,Time,Direction,Type,Occupancy,Eco-friendly,AdditionalData2
23-10-2023,10.30am,in,car,2,no,null
23-10-2023,10.30am,in,taxi,2,no,null
23-10-2023,10.30am,in,car,2,no,null
23-10-2023,10.30am,in,bus,10%,no,null
23-10-2023,10.30am,in,car,1,no,null
23-10-2023,10.30am,in,lorry,1,no,null
23-10-2023,10.30am,in,car,1,yes,null
23-10-2023,10.30am,in,car,1,no,null
23-10-2023,10.30am,in,car,1,no,null
23-10-2023,10.30am,in,car,2,no,null
23-10-2023,10.30am,in,car,2,no,null
23-10-2023,10.30am,in,car,2,no,null
23-10-2023,10.30am,in,bicycle,1,yes,null
23-10-2023,10.30am,in,car,2,no,null
23-10-2023,10.30am,in,car,1,no,null
23-10-2023,10.30am,in,car,1,no,null
23-10-2023,10.30am,in,van,1,no,null
23-10-2023,10.30am,in,car,1,no,null
23-10-2023,10.30am,in,car,1,no,null
23-10-2023,10.30am,in,bus,30%,no,null
23-10-2023,10.30am,in,car,1,no,null
