Date,Time,Direction,Type,Occupancy,Electric
23/10/2023,10:20am,out,car,1,N
23/10/2023,10:20am,out,taxi,1,N
23/10/2023,10:20am,out,lorry,1,N
23/10/2023,10:20am,out,lorry,1,N
23/10/2023,10:20am,out,bus,9%,N
23/10/2023,10:25am,out,lorry,1,N
23/10/2023,10:25am,out,bus,36%,N
23/10/2023,10:25am,out,car,1,N
23/10/2023,10:25am,out,van,1,N
23/10/2023,10:25am,out,car,1,N
23/10/2023,10:25am,out,bus,2%,N
23/10/2023,10:25am,out,car,1,N
23/10/2023,10:25am,out,lorry,2,N
23/10/2023,10:25am,out,bus,2%,N
23/10/2023,10:25am,out,car,1,N
23/10/2023,10:30am,out,van,1,N
23/10/2023,10:30am,out,bus,7%,N
23/10/2023,10:30am,out,bus,2%,N
23/10/2023,10:30am,out,car,1,N
23/10/2023,10:30am,out,car,1,N
23/10/2023,10:30am,out,car,1,N
23/10/2023,10:35am,out,van,1,N
23/10/2023,10:35am,out,van,1,N
23/10/2023,10:35am,out,car,1,N
23/10/2023,10:35am,out,car,2,N
23/10/2023,10:35am,out,bus,9%,N
23/10/2023,10:35am,out,car,1,N
23/10/2023,10:35am,out,car,1,N
23/10/2023,10:35am,out,bus,2%,N
23/10/2023,10:35am,out,bicycle,1,N
23/10/2023,10:35am,out,car,1,N
23/10/2023,10:40am,out,bus,2%,N
23/10/2023,10:40am,out,lorry,1,N
23/10/2023,10:40am,out,car,1,N
23/10/2023,10:40am,out,car,2,N
23/10/2023,10:40am,out,car,1,N
23/10/2023,10:40am,out,car,1,N
23/10/2023,10:45am,out,bus,2%,N
23/10/2023,10:45am,out,car,1,N
23/10/2023,10:45am,out,taxi,1,N
23/10/2023,10:45am,out,car,1,N
23/10/2023,10:45am,out,lorry,1,N
23/10/2023,10:45am,out,car,1,N
23/10/2023,10:45am,out,car,1,N
23/10/2023,10:45am,out,car,1,N
23/10/2023,10:45am,out,car,1,N
23/10/2023,10:50am,out,taxi,1,N
23/10/2023,10:50am,out,bus,2%,N
23/10/2023,10:50am,out,car,1,N
23/10/2023,10:50am,out,car,1,N
23/10/2023,10:20am,in,bus,36%,N
23/10/2023,10:20am,in,car,1,N
23/10/2023,10:20am,in,car,1,N
23/10/2023,10:20am,in,motorbike,1,N
23/10/2023,10:20am,in,car,1,N
23/10/2023,10:20am,in,lorry,1,N
23/10/2023,10:25am,in,car,1,N
23/10/2023,10:25am,in,bicycle,1,N
23/10/2023,10:25am,in,car,1,N
23/10/2023,10:25am,in,van,1,N
23/10/2023,10:25am,in,van,1,N
23/10/2023,10:25am,in,car,2,N
23/10/2023,10:25am,in,bus,45%,N
23/10/2023,10:25am,in,car,1,N
23/10/2023,10:25am,in,car,1,N
23/10/2023,10:25am,in,car,2,N
23/10/2023,10:25am,in,car,3,N
23/10/2023,10:25am,in,car,1,N
23/10/2023,10:25am,in,car,1,N
23/10/2023,10:25am,in,car,2,N
23/10/2023,10:25am,in,car,4,N
23/10/2023,10:25am,in,car,1,N
23/10/2023,10:25am,in,car,1,N
23/10/2023,10:25am,in,car,1,N
23/10/2023,10:30am,in,bus,27%,N
23/10/2023,10:30am,in,car,2,N
23/10/2023,10:30am,in,car,1,N
23/10/2023,10:30am,in,car,1,N
23/10/2023,10:30am,in,car,2,N
23/10/2023,10:30am,in,car,1,N
23/10/2023,10:30am,in,car,1,N
23/10/2023,10:30am,in,van,1,N
23/10/2023,10:30am,in,van,1,N
23/10/2023,10:30am,in,bus,73%,N
23/10/2023,10:30am,in,car,1,N
23/10/2023,10:30am,in,car,1,N
23/10/2023,10:30am,in,car,1,N
23/10/2023,10:30am,in,bus,36%,N
23/10/2023,10:30am,in,car,1,N
23/10/2023,10:30am,in,lorry,1,N
23/10/2023,10:30am,in,car,1,N
23/10/2023,10:30am,in,car,2,N
23/10/2023,10:30am,in,car,1,N
23/10/2023,10:30am,in,car,1,N
23/10/2023,10:30am,in,car,1,N
23/10/2023,10:30am,in,car,2,N
23/10/2023,10:30am,in,bicycle,1,N
23/10/2023,10:35am,in,car,2,N
23/10/2023,10:35am,in,car,1,N
23/10/2023,10:35am,in,van,1,N
23/10/2023,10:35am,in,car,1,N
23/10/2023,10:35am,in,car,1,N
23/10/2023,10:35am,in,car,1,N
23/10/2023,10:35am,in,bus,13%,N
23/10/2023,10:35am,in,car,1,N
23/10/2023,10:35am,in,car,1,N
23/10/2023,10:35am,in,car,2,N
23/10/2023,10:35am,in,car,1,N
23/10/2023,10:35am,in,car,1,N
23/10/2023,10:35am,in,car,2,N
23/10/2023,10:35am,in,car,1,N
23/10/2023,10:35am,in,car,1,N
23/10/2023,10:40am,in,car,2,N
23/10/2023,10:40am,in,car,1,N
23/10/2023,10:40am,in,car,1,Y
23/10/2023,10:40am,in,car,2,N
23/10/2023,10:40am,in,car,1,N
23/10/2023,10:40am,in,car,1,N
23/10/2023,10:40am,in,car,2,N
23/10/2023,10:40am,in,car,1,N
23/10/2023,10:40am,in,car,1,N
23/10/2023,10:40am,in,van,1,N
23/10/2023,10:40am,in,bus,55%,N
23/10/2023,10:40am,in,car,1,N
23/10/2023,10:40am,in,car,1,N
23/10/2023,10:40am,in,bus,55%,N
23/10/2023,10:40am,in,car,1,N
23/10/2023,10:40am,in,car,1,N
23/10/2023,10:40am,in,car,1,N
23/10/2023,10:40am,in,car,1,N
23/10/2023,10:40am,in,car,1,N
23/10/2023,10:40am,in,lorry,1,N
23/10/2023,10:40am,in,car,2,N
23/10/2023,10:40am,in,car,1,N
23/10/2023,10:40am,in,car,1,N
23/10/2023,10:45am,in,car,1,N
23/10/2023,10:45am,in,van,1,N
23/10/2023,10:45am,in,car,2,N
23/10/2023,10:45am,in,car,3,N
23/10/2023,10:45am,in,car,1,N
23/10/2023,10:45am,in,bus,91%,N
23/10/2023,10:45am,in,bus,64%,N
23/10/2023,10:45am,in,lorry,1,N
23/10/2023,10:45am,in,taxi,2,Y
23/10/2023,10:45am,in,car,1,N
23/10/2023,10:45am,in,taxi,2,N
23/10/2023,10:45am,in,car,4,N
23/10/2023,10:45am,in,car,2,N
23/10/2023,10:45am,in,car,1,N
23/10/2023,10:45am,in,car,1,N
23/10/2023,10:45am,in,car,1,N
23/10/2023,10:45am,in,car,1,N
23/10/2023,10:45am,in,car,1,N
23/10/2023,10:45am,in,car,2,N
23/10/2023,10:45am,in,car,1,N
23/10/2023,10:45am,in,car,1,N
23/10/2023,10:45am,in,bus,100%,N
23/10/2023,10:45am,in,car,1,N
23/10/2023,10:50am,in,car,1,N
23/10/2023,10:50am,in,car,1,N
23/10/2023,10:50am,in,car,1,N
23/10/2023,10:50am,in,car,1,N
23/10/2023,10:50am,in,car,1,N
23/10/2023,10:50am,in,car,1,N
23/10/2023,10:50am,in,car,1,N
23/10/2023,10:50am,in,car,1,N
23/10/2023,10:50am,in,car,1,N
23/10/2023,10:50am,in,car,1,Y
