Date,Time,Direction,Type,Occupancy,Weather,Area_Code
24-10-2023,10.35am,out,car,1,overcast,ll
24-10-2023,10.35am,out,bus,10%,overcast,yx
24-10-2023,10.35am,out,car,1,overcast,bt
24-10-2023,10.35am,out,car,1,overcast,ow
24-10-2023,10.35am,out,bus,10%,overcast,yx
24-10-2023,10.35am,out,car,1,overcast,ab
24-10-2023,10.35am,out,bus,10%,overcast,yx
24-10-2023,10.40am,out,car,1,overcast,fd
24-10-2023,10.40am,out,car,1,overcast,wu
24-10-2023,10.40am,out,car,1,overcast,wa
24-10-2023,10.40am,out,car,1,overcast,ht
24-10-2023,10.40am,out,car,2,overcast,mj
24-10-2023,10.40am,out,car,1,overcast,nj
24-10-2023,10.40am,out,car,1,overcast,wr
24-10-2023,10.40am,out,lorry,1,overcast,wx
24-10-2023,10.40am,out,taxi,1,overcast,y
24-10-2023,10.45am,out,bus,10%,overcast,yx
24-10-2023,10.45am,out,car,1,overcast,wr
24-10-2023,10.45am,out,bus,10%,overcast,yx
24-10-2023,10.45am,out,car,1,overcast,wr
24-10-2023,10.50am,out,car,2,sunny,wo
24-10-2023,10.50am,out,car,1,sunny,vo
24-10-2023,10.50am,out,car,2,sunny,di
24-10-2023,10.50am,out,taxi,1,sunny,wo
24-10-2023,10.50am,out,car,1,sunny,lm
24-10-2023,10.55am,out,taxi,1,sunny,dp
24-10-2023,10.55am,out,taxi,1,sunny,ys
24-10-2023,10.55am,out,car,2,sunny,wj
24-10-2023,10.55am,out,bus,10%,sunny,yt
24-10-2023,10.55am,out,bus,3%,sunny,yx
24-10-2023,10.55am,out,bus,10%,sunny,yx
24-10-2023,10.55am,out,car,1,sunny,hi
24-10-2023,11.00am,out,car,1,sunny,fg
24-10-2023,11.00am,out,car,1,sunny,nx
24-10-2023,11.00am,out,car,1,sunny,ky
24-10-2023,11.00am,out,car,1,sunny,yp
24-10-2023,11.00am,out,taxi,1,sunny,hf
24-10-2023,11.00am,out,car,3,sunny,gu
24-10-2023,11.00am,out,car,1,sunny,ap
24-10-2023,11.00am,out,car,1,sunny,ba
24-10-2023,11.00am,out,lorry,2,sunny,wf
24-10-2023,11.00am,out,lorry,1,sunny,wr
24-10-2023,11.05am,out,bus,10%,sunny,yx
24-10-2023,11.05am,out,car,2,sunny,gu
24-10-2023,11.05am,out,car,1,sunny,wn
24-10-2023,11.05am,out,taxi,1,sunny,gy
24-10-2023,11.05am,out,bus,10%,sunny,yx
24-10-2023,11.05am,out,lorry,1,sunny,ky
24-10-2023,11.05am,out,car,1,sunny,yj
24-10-2023,11.05am,out,car,1,sunny,wn
26-10-2023,9.00am,out,bus,10%,sunny,yx
26-10-2023,9.00am,out,car,1,sunny,hj
26-10-2023,9.00am,out,car,1,sunny,sv
26-10-2023,9.05am,out,bus,10%,sunny,yx
26-10-2023,9.05am,out,car,1,sunny,wd
26-10-2023,9.05am,out,car,1,sunny,wp
26-10-2023,9.05am,out,car,1,sunny,wu
26-10-2023,9.05am,out,car,1,sunny,wm
26-10-2023,9.05am,out,bus,10%,sunny,yx
26-10-2023,9.05am,out,bus,10%,sunny,yx
26-10-2023,9.05am,out,taxi,1,sunny,vo
26-10-2023,9.05am,out,car,1,sunny,vt
26-10-2023,9.05am,out,car,2,sunny,wr
26-10-2023,9.05am,out,car,1,sunny,yj
26-10-2023,9.05am,out,car,1,sunny,wm
26-10-2023,9.05am,out,car,1,sunny,dn
26-10-2023,9.05am,out,car,1,sunny,y
26-10-2023,9.05am,out,u2,1,sunny,yt
26-10-2023,9.10am,out,lorry,1,sunny,pn
26-10-2023,9.10am,out,car,1,sunny,gb
26-10-2023,9.10am,out,car,1,sunny,gv
26-10-2023,9.10am,out,car,1,sunny,sx
26-10-2023,9.10am,out,car,1,sunny,lx
26-10-2023,9.10am,out,car,2,sunny,ca
26-10-2023,9.10am,out,bus,0%,sunny,yx
26-10-2023,9.10am,out,car,1,sunny,kp
26-10-2023,9.10am,out,car,1,sunny,gc
26-10-2023,9.10am,out,taxi,1,sunny,ao
26-10-2023,9.10am,out,car,1,sunny,rj
26-10-2023,9.10am,out,car,3,sunny,de
26-10-2023,9.10am,out,taxi,1,sunny,wn
26-10-2023,9.10am,out,car,1,sunny,wj
26-10-2023,9.10am,out,car,1,sunny,bk
26-10-2023,9.15am,out,bus,10%,sunny,yt
26-10-2023,9.15am,out,bus,10%,sunny,yt
26-10-2023,9.15am,out,car,1,sunny,yr
26-10-2023,9.15am,out,car,1,sunny,yf
26-10-2023,9.15am,out,car,1,sunny,kw
26-10-2023,9.15am,out,car,1,sunny,gj
