Date,Time,Direction,Type,Occupancy,Public Vehicle,Safety
26-10-2023,10.35am,in,van,1,,
26-10-2023,10.35am,in,van,1,,
26-10-2023,10.35am,in,van,1,,
26-10-2023,10.35am,in,van,1,,
26-10-2023,10.45am,in,van,1,,
26-10-2023,10.45am,in,van,1,,
26-10-2023,10.50am,in,van,1,,
26-10-2023,10.55am,in,van,1,,
26-10-2023,10.55am,in,van,1,,
26-10-2023,10.55am,in,lorry,1,,
26-10-2023,10.30am,in,bus,1,,
26-10-2023,10.35am,in,bus,50%,,
26-10-2023,10.45am,in,bus,100%,,
26-10-2023,10.50am,in,bus,100%,,
26-10-2023,10.50am,in,bus,100%,,
26-10-2023,10.50am,in,bus,100%,,
26-10-2023,10.55am,in,bus,75%,,
26-10-2023,10.55am,in,bus,75%,,
