Date,Time,Direction,Type,Occupancy,Driver_Gender,Mode_of_Travel
26-10-2023,8:50 AM,IN,car,2,Female,Private
26-10-2023,8:50 AM,IN,car,1,Male,Private
26-10-2023,8:50 AM,IN,car,1,Male,Private
26-10-2023,8:50 AM,IN,car,3,Male,Private
26-10-2023,8:50 AM,IN,bus,100%,Male,Public
26-10-2023,8:50 AM,IN,car,1,Male,Private
26-10-2023,8:51 AM,IN,car,1,Male,Private
26-10-2023,8:51 AM,IN,car,3,Male,Private
26-10-2023,8:51 AM,IN,car,1,Male,Private
26-10-2023,8:51 AM,IN,bus,100%,Male,Public
26-10-2023,8:51 AM,IN,car,3,Female,Private
26-10-2023,8:52 AM,IN,car,1,Male,Private
26-10-2023,8:52 AM,IN,car,2,Male,Private
26-10-2023,8:52 AM,IN,car,1,Female,Private
26-10-2023,8:52 AM,IN,bicycle,1,Female,Private
26-10-2023,8:52 AM,IN,scooter,1,Male,Rented
26-10-2023,8:52 AM,IN,bus,75%,Male,Public
26-10-2023,8:53 AM,IN,car,1,Female,Private
26-10-2023,8:53 AM,IN,bus,75%,Male,Public
26-10-2023,8:53 AM,IN,car,1,Male,Private
26-10-2023,8:53 AM,IN,car,1,Male,Private
26-10-2023,8:53 AM,IN,car,2,Female,Private
26-10-2023,8:53 AM,IN,car,1,Male,Private
26-10-2023,8:53 AM,IN,car,2,Male,Private
26-10-2023,8:54 AM,IN,taxi,4,Female,Rented
26-10-2023,8:54 AM,IN,car,1,Male,Private
26-10-2023,8:54 AM,IN,car,3,Male,Private
26-10-2023,8:54 AM,IN,car,1,Female,Private
26-10-2023,8:54 AM,IN,car,1,Female,Private
26-10-2023,8:55 AM,IN,bicycle,1,Male,Private
26-10-2023,8:55 AM,IN,car,2,Male,Private
26-10-2023,8:55 AM,IN,car,4,Male,Private
26-10-2023,8:55 AM,IN,car,1,Male,Private
26-10-2023,8:56 AM,IN,car,1,Male,Private
26-10-2023,8:56 AM,IN,bicycle,1,Male,Private
26-10-2023,8:56 AM,IN,bicycle,1,Female,Private
26-10-2023,8:56 AM,IN,bus,75%,Male,Public
26-10-2023,8:56 AM,IN,lorry,2,Male,Commercial
26-10-2023,8:56 AM,IN,taxi,4,Male,Rented
26-10-2023,8:56 AM,IN,car,1,Male,Private
26-10-2023,8:57 AM,IN,car,1,Female,Private
26-10-2023,8:57 AM,IN,car,1,Male,Private
26-10-2023,8:57 AM,IN,car,1,Male,Private
26-10-2023,8:57 AM,IN,car,3,Male,Private
26-10-2023,8:57 AM,IN,car,1,Male,Private
26-10-2023,8:57 AM,IN,car,2,Male,Private
26-10-2023,8:57 AM,IN,car,2,Male,Private
26-10-2023,8:58 AM,IN,car,4,Male,Private
26-10-2023,8:58 AM,IN,car,1,Female,Private
26-10-2023,8:58 AM,IN,car,1,Male,Private
26-10-2023,8:58 AM,IN,car,2,Male,Private
26-10-2023,8:58 AM,IN,car,3,Male,Private
26-10-2023,8:58 AM,IN,car,2,Male,Private
26-10-2023,8:59 AM,IN,car,2,Female,Private
26-10-2023,8:59 AM,IN,motorbike,1,Male,Private
26-10-2023,8:59 AM,IN,car,1,Male,Private
26-10-2023,8:59 AM,IN,car,1,Male,Private
26-10-2023,8:59 AM,IN,car,3,Male,Private
26-10-2023,9:00 AM,IN,car,1,Male,Private
26-10-2023,9:00 AM,IN,car,2,Female,Private
26-10-2023,9:00 AM,IN,car,2,Male,Private
26-10-2023,9:00 AM,IN,car,3,Male,Private
26-10-2023,9:01 AM,IN,bicycle,1,Male,Private
26-10-2023,9:01 AM,IN,bicycle,1,Male,Private
26-10-2023,9:01 AM,IN,car,1,Female,Private
26-10-2023,9:02 AM,IN,car,2,Male,Private
26-10-2023,9:02 AM,IN,car,1,Male,Private
26-10-2023,9:02 AM,IN,car,4,Male,Private
26-10-2023,9:02 AM,IN,car,2,Female,Private
26-10-2023,9:02 AM,IN,van,1,Male,Commercial
26-10-2023,9:03 AM,IN,car,1,Male,Private
26-10-2023,9:03 AM,IN,car,4,Male,Private
26-10-2023,9:03 AM,IN,car,2,Male,Private
26-10-2023,9:03 AM,IN,car,2,Female,Private
26-10-2023,9:03 AM,IN,car,2,Female,Private
26-10-2023,9:03 AM,IN,car,2,Male,Private
26-10-2023,9:03 AM,IN,car,2,Male,Private
26-10-2023,9:03 AM,IN,car,3,Female,Private
26-10-2023,9:04 AM,IN,car,2,Male,Private
26-10-2023,9:04 AM,IN,car,1,Female,Private
26-10-2023,9:04 AM,IN,car,2,Female,Private
26-10-2023,9:04 AM,IN,car,2,Male,Private
