Date,Time,Direction,Type,Occupancy
27/10/2022,10:45,Out,Car,2
27/10/2022,10:45,Out,Car,2
27/10/2022,10:45,Out,Car,2
27/10/2022,10:45,Out,Car,2
27/10/2022,10:45,Out,Car,2
27/10/2022,10:45,Out,Car,3
27/10/2022,10:45,Out,Car,3
27/10/2022,10:45,Out,Car,3
27/10/2022,10:45,Out,Bus,20%
27/10/2022,10:45,Out,Taxi,1
27/10/2022,10:45,Out,Van,1
27/10/2022,10:50,In,Car,1
27/10/2022,10:50,In,Car,1
27/10/2022,10:50,In,Car,1
27/10/2022,10:50,In,Car,1
27/10/2022,10:50,In,Car,1
27/10/2022,10:50,In,Car,1
27/10/2022,10:50,In,Car,1
27/10/2022,10:50,In,Car,1
27/10/2022,10:50,In,Car,1
27/10/2022,10:50,In,Car,1
27/10/2022,10:50,In,Car,1
27/10/2022,10:50,In,Car,2
27/10/2022,10:50,In,Car,2
27/10/2022,10:50,In,Car,3
27/10/2022,10:50,In,Car,3
27/10/2022,10:50,In,Car,3
27/10/2022,10:50,In,Car,4
27/10/2022,10:50,In,Car,5
27/10/2022,10:50,In,Bus,80%
27/10/2022,10:50,In,Bus,100%
27/10/2022,10:50,In,Bus,100%
27/10/2022,10:50,In,Motorbike,1
27/10/2022,10:50,In,Motorbike,1
27/10/2022,10:50,In,Van,1
27/10/2022,10:50,In,Electric Car,3
27/10/2022,10:50,In,Electric Car,3
27/10/2022,10:50,Out,Car,1
27/10/2022,10:50,Out,Car,1
27/10/2022,10:50,Out,Car,1
27/10/2022,10:50,Out,Car,1
27/10/2022,10:50,Out,Car,1
27/10/2022,10:50,Out,Car,1
27/10/2022,10:50,Out,Car,2
27/10/2022,10:50,Out,Car,2
27/10/2022,10:50,Out,Car,3
27/10/2022,10:50,Out,Car,3
27/10/2022,10:50,Out,Car,4
27/10/2022,10:50,Out,Car,4
27/10/2022,10:50,Out,Bus,20%
27/10/2022,10:55,In,Car,1
27/10/2022,10:55,In,Car,1
27/10/2022,10:55,In,Car,1
27/10/2022,10:55,In,Car,1
27/10/2022,10:55,In,Car,1
27/10/2022,10:55,In,Car,1
27/10/2022,10:55,In,Car,1
27/10/2022,10:55,In,Car,1
27/10/2022,10:55,In,Car,1
27/10/2022,10:55,In,Car,1
27/10/2022,10:55,In,Car,1
27/10/2022,10:55,In,Car,1
27/10/2022,10:55,In,Car,1
27/10/2022,10:55,In,Car,1
27/10/2022,10:55,In,Car,1
27/10/2022,10:55,In,Car,2
27/10/2022,10:55,In,Car,2
27/10/2022,10:55,In,Car,2
27/10/2022,10:55,In,Car,2
27/10/2022,10:55,In,Car,2
27/10/2022,10:55,In,Car,3
27/10/2022,10:55,In,Car,4
27/10/2022,10:55,In,Car,4
27/10/2022,10:55,In,Car,4
27/10/2022,10:55,In,Bus,60%
27/10/2022,10:55,In,Bus,80%
27/10/2022,10:55,In,Bus,80%
27/10/2022,10:55,In,Taxi,2
27/10/2022,10:55,In,Motorbike,1
27/10/2022,10:55,In,Van,2
27/10/2022,10:55,In,Van,2
27/10/2022,10:55,Out,Car,1
27/10/2022,10:55,Out,Car,1
27/10/2022,10:55,Out,Car,1
27/10/2022,10:55,Out,Car,1
27/10/2022,10:55,Out,Car,1
27/10/2022,10:55,Out,Car,1
27/10/2022,10:55,Out,Car,2
27/10/2022,10:55,Out,Car,2
27/10/2022,10:55,Out,Car,3
27/10/2022,10:55,Out,Car,3
27/10/2022,10:55,Out,Car,3
27/10/2022,10:55,Out,Car,4
27/10/2022,10:55,Out,Car,4
27/10/2022,10:55,Out,Bus,20%
27/10/2022,10:55,Out,Bus,20%
27/10/2022,10:55,Out,Taxi,1
27/10/2022,10:55,Out,Motorbike,1
27/10/2022,10:55,Out,Van,1
27/10/2022,10:55,Out,Electric Car,1
