Date,Time,Direction,Type,Occupancy,Engine,Personal
25-10-2022,11.00am,in,car,2,combustion,True
25-10-2022,11.00am,in,car,2,combustion,True
25-10-2022,11.00am,in,car,1,combustion,True
25-10-2022,11.00am,in,car,1,combustion,True
25-10-2022,11.00am,in,car,3,combustion,True
25-10-2022,11.00am,in,car,2,combustion,True
25-10-2022,11.00am,in,scooter,1,electric,True
25-10-2022,11.00am,in,bicycle,1,no engine,True
25-10-2022,11.00am,in,car,1,combustion,True
25-10-2022,11.00am,in,car,1,combustion,True
25-10-2022,11.00am,in,car,1,combustion,True
25-10-2022,11.00am,in,car,2,combustion,True
25-10-2022,11.00am,in,car,4,combustion,True
25-10-2022,11.00am,in,car,1,combustion,True
25-10-2022,11.00am,in,van,1,combustion,False
25-10-2022,11.00am,in,bicycle,1,no engine,True
25-10-2022,11.00am,in,car,1,combustion,True
25-10-2022,11.00am,in,car,4,combustion,True
25-10-2022,11.00am,in,car,2,combustion,True
25-10-2022,11.00am,in,van,2,combustion,False
25-10-2022,11.00am,in,tractor,1,combustion,False
25-10-2022,11.00am,in,taxi,1,combustion,False
25-10-2022,11.00am,in,car,1,combustion,True
25-10-2022,11.00am,in,bus,100%,combustion,False
25-10-2022,11.00am,in,bus,100%,combustion,False
25-10-2022,11.00am,in,car,2,combustion,True
25-10-2022,11.00am,in,car,4,combustion,True
25-10-2022,11.00am,in,car,1,combustion,True
25-10-2022,11.00am,in,car,2,combustion,True
25-10-2022,11.00am,in,car,1,combustion,True
25-10-2022,11.00am,in,taxi,1,combustion,False
25-10-2022,11.00am,in,car,3,combustion,True
25-10-2022,11.00am,in,car,2,combustion,True
25-10-2022,11.00am,in,car,1,combustion,True
25-10-2022,11.00am,in,taxi,1,combustion,False
25-10-2022,11.00am,in,car,1,combustion,True
25-10-2022,11.00am,in,car,2,combustion,True
25-10-2022,11.00am,in,car,1,combustion,True
25-10-2022,11.00am,in,bicycle,1,no engine,True
25-10-2022,11.00am,in,bus,90%,combustion,False
25-10-2022,11.05am,in,car,1,combustion,True
25-10-2022,11.05am,in,car,1,electric,True
25-10-2022,11.05am,in,car,1,combustion,True
25-10-2022,11.05am,in,van,1,combustion,False
25-10-2022,11.05am,in,van,1,combustion,False
25-10-2022,11.05am,in,bus,100%,combustion,False
25-10-2022,11.05am,in,car,2,combustion,True
25-10-2022,11.05am,in,motorbike,1,combustion,True
25-10-2022,11.05am,in,car,1,combustion,True
25-10-2022,11.05am,in,car,1,combustion,True
25-10-2022,11.05am,in,bicycle,1,no engine,True
25-10-2022,11.05am,in,taxi,1,combustion,False
25-10-2022,11.05am,in,car,2,combustion,True
25-10-2022,11.05am,in,car,2,combustion,True
25-10-2022,11.05am,in,car,1,combustion,True
25-10-2022,11.05am,in,car,1,combustion,True
25-10-2022,11.05am,in,car,2,combustion,True
25-10-2022,11.05am,in,van,1,combustion,False
25-10-2022,11.05am,in,car,1,combustion,True
25-10-2022,11.05am,in,car,2,combustion,True
25-10-2022,11.05am,in,car,1,combustion,True
25-10-2022,11.05am,in,van,1,combustion,False
25-10-2022,11.05am,in,car,1,combustion,True
25-10-2022,11.05am,in,car,3,combustion,True
25-10-2022,11.05am,in,car,2,combustion,True
25-10-2022,11.05am,in,car,2,combustion,True
25-10-2022,11.10am,in,car,1,combustion,True
25-10-2022,11.10am,in,van,1,combustion,False
25-10-2022,11.10am,in,taxi,2,combustion,False
25-10-2022,11.10am,in,car,1,combustion,True
25-10-2022,11.10am,in,car,1,combustion,True
25-10-2022,11.10am,in,car,2,combustion,True
25-10-2022,11.10am,in,car,1,combustion,True
25-10-2022,11.10am,in,car,2,combustion,True
25-10-2022,11.10am,in,car,1,combustion,True
25-10-2022,11.10am,in,car,1,combustion,True
25-10-2022,11.10am,in,car,1,combustion,True
25-10-2022,11.10am,in,car,2,combustion,True
25-10-2022,11.10am,in,car,1,combustion,True
25-10-2022,11.10am,in,car,1,combustion,True
25-10-2022,11.10am,in,bicycle,1,no engine,True
25-10-2022,11.10am,in,taxi,1,combustion,False
25-10-2022,11.10am,in,car,2,combustion,True
25-10-2022,11.10am,in,car,2,combustion,True
